Year,Month,Day,Hour,Minute,Seconds,Subject,Experiment,Trial,Distractor_num,Distractor_size,Setup_time(s),Inspection_time(s),Search_time(s),Input_time(s),Accuracy
2019,5,29,13,19,42.121,5,2,3,6,0.5,1.302,1.9558,6.6053,2.3489,1
2019,5,29,13,20,17.365,5,2,4,4,0.75,1.3893,1.7626,8.6273,3.5375,0
2019,5,29,13,20,46.071,5,2,5,4,1.25,1.5228,1.7268,12.091,2.6484,1
2019,5,29,13,21,6.174,5,2,6,8,0.5,1.7802,1.5492,6.4474,3.0949,1
2019,5,29,13,21,27.191,5,2,7,6,0.75,1.7684,1.4971,7.9095,2.2606,1
2019,5,29,13,21,46.5,5,2,8,4,0.25,1.9212,1.2129,5.6003,2.7474,1
2019,5,29,13,22,18.498,5,2,9,6,1.25,3.1638,2.0554,16.921,2.9534,0
2019,5,29,13,22,51.375,5,2,10,4,0.5,2.5585,1.9264,6.9571,13.999,1
2019,5,29,13,23,12.697,5,2,11,8,1.75,1.3249,1.2337,13.19,4.3632,1
2019,5,29,13,23,32.246,5,2,12,6,0.25,1.8479,1.7385,5.2603,2.2719,1
2019,5,29,13,24,3.382,5,2,13,8,1.5,1.164,2.4013,15.392,3.9575,1
2019,5,29,13,24,22.62,5,2,14,8,0.75,1.1449,1.8432,6.3819,2.6113,1
2019,5,29,13,24,47.6,5,2,15,8,1.25,1.6804,1.1864,11.228,3.1694,1
2019,5,29,13,25,12.732,5,2,16,6,1.5,1.3468,2.1312,10.524,3.481,1
2019,5,29,13,25,32.112,5,2,17,4,1.5,1.3218,1.853,5.8236,3.2201,1
2019,5,29,13,25,56.247,5,2,18,4,1.75,1.5473,1.3878,4.6539,8.9645,1
2019,5,29,14,17,33.152,6,2,1,8,1.75,1.2417,1.3149,57.397,3.9203,0
2019,5,29,14,18,0.04,6,2,2,8,0.25,1.4076,1.1759,7.7492,2.9854,1
2019,5,29,14,19,38.964,6,2,3,8,1.25,1.7196,30.611,48.372,2.6008,1
2019,5,29,14,20,14.247,6,2,4,8,0.5,1.1679,1.4363,16.43,2.514,1
2019,5,29,14,20,40.682,6,2,5,6,0.25,2.2058,1.236,6.4998,2.3339,1
2019,5,29,14,21,24.612,6,2,6,4,1.25,2.2436,2.3208,24.017,2.2396,1
2019,5,29,14,23,18.505,6,2,7,8,0.75,1.4768,2.4165,93.446,2.6032,1
2019,5,29,14,23,47.559,6,2,8,4,1.75,1.731,2.0936,9.2725,2.235,1
2019,5,29,14,24,27.017,6,2,9,6,1.25,1.1954,2.0759,20.553,2.442,1
2019,5,29,14,25,4.15,6,2,10,6,1.75,1.2574,1.898,18.23,2.1794,1
2019,5,29,14,25,37.838,6,2,11,6,1.5,1.3318,1.6461,15.497,2.3013,1
2019,5,29,14,26,5.093,6,2,12,4,0.75,1.2332,1.26,9.7656,2.6281,0
2019,5,29,14,26,52.64,6,2,13,4,0.5,2.2733,1.3808,29.877,2.2992,1
2019,5,29,14,27,49.359,6,2,14,4,1.5,1.2282,1.7833,40.424,2.1426,1
2019,5,29,14,28,15.82,6,2,15,4,0.25,1.2858,1.8133,7.191,2.4294,1
2019,5,29,14,28,48.821,6,2,16,8,1.5,1.5671,1.2659,12.897,2.35,1
2019,5,29,14,29,42.422,6,2,17,6,0.75,2.0755,9.7344,25.404,2.2187,1
2019,5,29,14,30,11.726,6,2,18,6,0.5,2.1236,1.7028,10.799,2.3479,1
2019,5,29,15,26,31.27,7,2,1,6,1.25,1.2677,1.1612,18.927,2.8326,1
2019,5,29,15,27,3.72,7,2,2,6,0.25,2.0276,1.7249,6.6173,3.5094,1
2019,5,29,15,27,39.188,7,2,3,4,0.5,1.3796,4.6634,12.217,2.3598,1
2019,5,29,15,28,3.304,7,2,4,4,0.25,1.2687,2.1093,6.1956,3.883,1
2019,5,29,15,28,55.915,7,2,5,8,0.75,2.1223,2.2145,25.347,3.3633,1
2019,5,29,15,29,24.49,7,2,6,6,0.5,1.3904,2.0714,11.713,3.1071,1
2019,5,29,15,29,51.07,7,2,7,4,0.75,1.7358,1.9143,9.7589,3.0515,0
2019,5,29,15,30,28.857,7,2,8,4,1.25,1.2323,1.8056,15.706,2.55,1
2019,5,29,15,30,58.016,7,2,9,4,1.5,1.9213,2.0302,11.232,3.615,1
2019,5,29,15,31,48.835,7,2,10,8,1.25,1.4336,1.7791,33.535,1.5539,1
2019,5,29,15,32,16.425,7,2,11,8,0.25,2.4065,1.3397,9.316,2.6626,1
2019,5,29,15,32,48.136,7,2,12,4,1.75,1.3801,1.7051,16.221,2.9324,1
